community_district,council_district,Year of Completion,ZoningDst1,FloorsProp,ClassANet_sum,AllCountedUnits_sum
101.0,1.0,1970,C6-9,56.0,223.0,0.0
101.0,1.0,1970,M1-5,4.0,2.0,0.0
101.0,1.0,1970,M1-5,5.0,11.0,0.0
101.0,1.0,1970,M1-5,6.0,-3.0,0.0
101.0,1.0,1970,M1-5,7.0,67.0,0.0
101.0,1.0,1970,M1-5,8.0,9.0,0.0
101.0,1.0,1970,M1-5,9.0,38.0,0.0
101.0,1.0,1970,M1-5,10.0,0.0,0.0
101.0,1.0,1970,M1-5,21.0,0.0,0.0
101.0,1.0,1970,M1-5B,5.0,0.0,0.0
101.0,1.0,1970,R10,9.0,1.0,0.0
101.0,1.0,1970,R10A,9.0,13.0,0.0
101.0,1.0,1970,R3-2,4.0,-1.0,0.0
101.0,1.0,1970,R3-2,5.0,-32.0,0.0
101.0,1.0,1970,R8,27.0,0.0,0.0
101.0,1.0,1970,R8A,9.0,18.0,0.0
101.0,1.0,1970,R8A,11.0,49.0,0.0
101.0,1.0,1970,R9,25.0,-1.0,0.0
102.0,1.0,1970,C1-5,3.0,-1.0,0.0
102.0,1.0,1970,C6-1,4.0,0.0,0.0
102.0,1.0,1970,C6-1,5.0,0.0,0.0
102.0,1.0,1970,C6-1,6.0,2.0,0.0
102.0,1.0,1970,C6-1,7.0,44.0,0.0
102.0,1.0,1970,C6-1,8.0,54.0,0.0
102.0,1.0,1970,C6-1,9.0,0.0,0.0
102.0,1.0,1970,C6-1G,5.0,0.0,0.0
102.0,1.0,1970,C6-1G,7.0,0.0,0.0
102.0,1.0,1970,C6-1G,8.0,27.0,0.0
102.0,1.0,1970,C6-2,2.0,1.0,0.0
102.0,1.0,1970,C6-2,3.0,-1.0,0.0
102.0,1.0,1970,C6-2,4.0,-1.0,0.0
102.0,1.0,1970,C6-2,5.0,-3.0,0.0
102.0,1.0,1970,C6-2,6.0,13.0,0.0
102.0,1.0,1970,C6-2,7.0,1.0,0.0
102.0,1.0,1970,C6-2,8.0,6.0,0.0
102.0,1.0,1970,C6-2A,5.0,-4.0,0.0
102.0,1.0,1970,C6-2A,6.0,1.0,0.0
102.0,1.0,1970,C6-2A,7.0,14.0,0.0
102.0,1.0,1970,C6-2A,9.0,7.0,0.0
102.0,1.0,1970,C6-2A,10.0,14.0,0.0
102.0,1.0,1970,C6-2A,11.0,31.0,0.0
102.0,1.0,1970,C6-2A,12.0,201.0,0.0
102.0,1.0,1970,C6-2G,4.0,0.0,0.0
102.0,1.0,1970,C6-2G,5.0,-7.0,0.0
102.0,1.0,1970,C6-2G,6.0,39.0,0.0
102.0,1.0,1970,C6-2G,7.0,96.0,0.0
102.0,1.0,1970,C6-2G,9.0,0.0,0.0
102.0,1.0,1970,C6-3,5.0,-2.0,0.0
102.0,1.0,1970,C6-3,9.0,1.0,0.0
102.0,1.0,1970,C6-3,11.0,15.0,0.0
102.0,1.0,1970,M1-5,2.0,-2.0,0.0
102.0,1.0,1970,M1-5,5.0,0.0,0.0
102.0,1.0,1970,M1-5,6.0,-2.0,0.0
102.0,1.0,1970,M1-5,7.0,1.0,0.0
102.0,1.0,1970,M1-5,27.0,0.0,0.0
102.0,1.0,1970,M1-5/R7X,5.0,1.0,0.0
102.0,1.0,1970,M1-5A,1.0,0.0,0.0
102.0,1.0,1970,M1-5A,4.0,-5.0,0.0
102.0,1.0,1970,M1-5A,5.0,-5.0,0.0
102.0,1.0,1970,M1-5A,6.0,15.0,0.0
102.0,1.0,1970,M1-5A,7.0,7.0,0.0
102.0,1.0,1970,M1-5A,8.0,6.0,0.0
102.0,1.0,1970,M1-5A,10.0,25.0,0.0
102.0,1.0,1970,M1-5A,13.0,-13.0,0.0
102.0,1.0,1970,M1-5A,14.0,-3.0,0.0
102.0,1.0,1970,M1-5A,15.0,0.0,0.0
102.0,1.0,1970,M1-5B,2.0,1.0,0.0
102.0,1.0,1970,M1-5B,4.0,16.0,0.0
102.0,1.0,1970,M1-5B,5.0,27.0,0.0
102.0,1.0,1970,M1-5B,6.0,0.0,0.0
102.0,1.0,1970,M1-5B,7.0,51.0,0.0
102.0,1.0,1970,M1-5B,8.0,10.0,0.0
102.0,1.0,1970,M1-5B,9.0,54.0,0.0
102.0,1.0,1970,M1-5B,11.0,2.0,0.0
102.0,1.0,1970,M1-5B,12.0,14.0,0.0
102.0,1.0,1970,M1-5B,13.0,0.0,0.0
102.0,1.0,1970,M1-5B,14.0,0.0,0.0
102.0,1.0,1970,M1-5B,16.0,21.0,0.0
102.0,1.0,1970,M1-5B,18.0,0.0,0.0
102.0,1.0,1970,M1-6,2.0,0.0,0.0
102.0,1.0,1970,M1-6,3.0,-1.0,0.0
102.0,1.0,1970,M1-6,5.0,0.0,0.0
102.0,1.0,1970,M1-6,7.0,5.0,0.0
102.0,1.0,1970,M1-6,25.0,165.0,0.0
102.0,1.0,1970,M1-6,27.0,100.0,0.0
102.0,1.0,1970,R7-2,4.0,0.0,0.0
102.0,1.0,1970,R7-2,5.0,-3.0,0.0
102.0,1.0,1970,R7-2,8.0,11.0,0.0
102.0,1.0,1970,R7-2,14.0,25.0,0.0
102.0,2.0,1970,C1-5,3.0,1.0,0.0
102.0,2.0,1970,C1-5,5.0,0.0,0.0
102.0,2.0,1970,C1-6,4.0,0.0,0.0
