community_district,council_district,Year of Completion,ZoningDst1,FloorsProp,ClassANet_sum,AllCountedUnits_sum
108.0,4.0,1970,R10,13.0,12.0,0.0
108.0,4.0,1970,R10,14.0,0.0,0.0
108.0,4.0,1970,R10,15.0,-2.0,0.0
108.0,4.0,1970,R10,16.0,20.0,0.0
108.0,4.0,1970,R10,17.0,8.0,0.0
108.0,4.0,1970,R10,18.0,-34.0,0.0
108.0,4.0,1970,R10,19.0,70.0,0.0
108.0,4.0,1970,R10,20.0,0.0,0.0
108.0,4.0,1970,R10,38.0,0.0,0.0
108.0,4.0,1970,R10A,6.0,0.0,0.0
108.0,4.0,1970,R10A,12.0,-1.0,0.0
108.0,4.0,1970,R10A,14.0,7.0,0.0
108.0,4.0,1970,R10A,15.0,1.0,0.0
108.0,4.0,1970,R10A,18.0,0.0,0.0
108.0,4.0,1970,R10A,19.0,31.0,0.0
108.0,4.0,1970,R10H,18.0,1.0,0.0
108.0,4.0,1970,R8,4.0,0.0,0.0
108.0,4.0,1970,R8,5.0,0.0,0.0
108.0,4.0,1970,R8,6.0,-1.0,0.0
108.0,4.0,1970,R8B,2.0,0.0,0.0
108.0,4.0,1970,R8B,3.0,-1.0,0.0
108.0,4.0,1970,R8B,4.0,-11.0,0.0
108.0,4.0,1970,R8B,5.0,-152.0,0.0
108.0,4.0,1970,R8B,6.0,-79.0,0.0
108.0,4.0,1970,R8B,7.0,9.0,0.0
108.0,4.0,1970,R8B,8.0,-8.0,0.0
108.0,4.0,1970,R8B,9.0,-4.0,0.0
108.0,4.0,1970,R8B,10.0,-33.0,0.0
108.0,4.0,1970,R8B,11.0,-1.0,0.0
108.0,4.0,1970,R8B,12.0,0.0,0.0
108.0,4.0,1970,R8B,13.0,0.0,0.0
108.0,4.0,1970,R8B,16.0,0.0,0.0
108.0,4.0,1970,R9X,5.0,-5.0,0.0
108.0,4.0,1970,R9X,6.0,0.0,0.0
108.0,5.0,1970,C1-5,5.0,0.0,0.0
108.0,5.0,1970,C1-8X,4.0,-4.0,0.0
108.0,5.0,1970,C1-8X,5.0,0.0,0.0
108.0,5.0,1970,C1-8X,6.0,1.0,0.0
108.0,5.0,1970,C1-8X,11.0,0.0,0.0
108.0,5.0,1970,C1-8X,12.0,0.0,0.0
108.0,5.0,1970,C1-8X,13.0,-27.0,0.0
108.0,5.0,1970,C1-8X,15.0,0.0,0.0
108.0,5.0,1970,C1-9,3.0,0.0,0.0
108.0,5.0,1970,C1-9,4.0,-2.0,0.0
108.0,5.0,1970,C1-9,5.0,-2.0,0.0
108.0,5.0,1970,C1-9,6.0,3.0,0.0
108.0,5.0,1970,C1-9,7.0,0.0,0.0
108.0,5.0,1970,C1-9,9.0,8.0,0.0
108.0,5.0,1970,C1-9,12.0,-2.0,0.0
108.0,5.0,1970,C1-9,16.0,0.0,0.0
108.0,5.0,1970,C1-9,18.0,31.0,0.0
108.0,5.0,1970,C1-9,19.0,31.0,0.0
108.0,5.0,1970,C1-9,20.0,5.0,0.0
108.0,5.0,1970,C1-9,24.0,0.0,0.0
108.0,5.0,1970,C1-9,28.0,0.0,0.0
108.0,5.0,1970,C1-9,30.0,107.0,0.0
108.0,5.0,1970,C1-9,31.0,0.0,0.0
108.0,5.0,1970,C1-9,32.0,74.0,0.0
108.0,5.0,1970,C1-9,34.0,0.0,0.0
108.0,5.0,1970,C1-9,35.0,86.0,0.0
108.0,5.0,1970,C1-9,43.0,0.0,0.0
108.0,5.0,1970,C2-8,4.0,-1.0,0.0
108.0,5.0,1970,C2-8,5.0,-5.0,0.0
108.0,5.0,1970,C2-8,6.0,3.0,0.0
108.0,5.0,1970,C2-8,10.0,7.0,0.0
108.0,5.0,1970,C2-8,11.0,24.0,0.0
108.0,5.0,1970,C2-8,14.0,0.0,0.0
108.0,5.0,1970,C2-8,19.0,30.0,0.0
108.0,5.0,1970,C2-8,21.0,-3.0,0.0
108.0,5.0,1970,C2-8,22.0,0.0,0.0
108.0,5.0,1970,C2-8,24.0,0.0,0.0
108.0,5.0,1970,C2-8,26.0,66.0,0.0
108.0,5.0,1970,C2-8,27.0,0.0,0.0
108.0,5.0,1970,C2-8,29.0,0.0,0.0
108.0,5.0,1970,C2-8,30.0,1.0,0.0
108.0,5.0,1970,C2-8,31.0,-44.0,0.0
108.0,5.0,1970,C2-8,34.0,82.0,0.0
108.0,5.0,1970,C2-8A,4.0,0.0,0.0
108.0,5.0,1970,C2-8A,6.0,0.0,0.0
108.0,5.0,1970,C2-8A,9.0,1.0,0.0
108.0,5.0,1970,C2-8A,20.0,63.0,0.0
108.0,5.0,1970,C2-8A,21.0,0.0,0.0
108.0,5.0,1970,C2-8A,30.0,0.0,0.0
108.0,5.0,1970,C2-8A,36.0,-6.0,0.0
108.0,5.0,1970,C4-5,19.0,0.0,0.0
108.0,5.0,1970,C4-5,26.0,352.0,0.0
108.0,5.0,1970,C4-6,8.0,0.0,0.0
108.0,5.0,1970,C4-6,30.0,0.0,0.0
108.0,5.0,1970,C4-6,36.0,231.0,0.0
108.0,5.0,1970,C5-2,25.0,0.0,0.0
108.0,5.0,1970,C6-3,37.0,209.0,0.0
108.0,5.0,1970,C8-4,5.0,0.0,0.0
108.0,5.0,1970,C8-4,8.0,21.0,0.0
108.0,5.0,1970,R10,4.0,-9.0,0.0
108.0,5.0,1970,R10,5.0,-5.0,0.0
108.0,5.0,1970,R10,6.0,-2.0,0.0
108.0,5.0,1970,R10,7.0,-20.0,0.0
108.0,5.0,1970,R10,9.0,-8.0,0.0
108.0,5.0,1970,R10,11.0,31.0,0.0
108.0,5.0,1970,R10,15.0,1.0,0.0
108.0,5.0,1970,R10,16.0,-3.0,0.0
108.0,5.0,1970,R10,20.0,82.0,0.0
108.0,5.0,1970,R10,31.0,1.0,0.0
108.0,5.0,1970,R10,33.0,0.0,0.0
108.0,5.0,1970,R10,35.0,0.0,0.0
108.0,5.0,1970,R10,36.0,-2.0,0.0
108.0,5.0,1970,R10,42.0,-33.0,0.0
108.0,5.0,1970,R10A,4.0,0.0,0.0
108.0,5.0,1970,R10A,5.0,2.0,0.0
108.0,5.0,1970,R10A,6.0,0.0,0.0
108.0,5.0,1970,R10A,13.0,0.0,0.0
108.0,5.0,1970,R10A,15.0,14.0,0.0
108.0,5.0,1970,R10A,17.0,41.0,0.0
108.0,5.0,1970,R10A,19.0,45.0,0.0
108.0,5.0,1970,R10A,20.0,-1.0,0.0
108.0,5.0,1970,R10A,22.0,140.0,0.0
108.0,5.0,1970,R10A,27.0,0.0,0.0
108.0,5.0,1970,R10A,31.0,1.0,0.0
108.0,5.0,1970,R10A,34.0,3.0,0.0
108.0,5.0,1970,R10A,36.0,0.0,0.0
108.0,5.0,1970,R7-1,5.0,-1.0,0.0
108.0,5.0,1970,R7-2,2.0,1.0,0.0
108.0,5.0,1970,R7-2,13.0,0.0,0.0
108.0,5.0,1970,R7-2,16.0,0.0,0.0
108.0,5.0,1970,R7-2,21.0,607.0,0.0
108.0,5.0,1970,R7-2,29.0,357.0,0.0
108.0,5.0,1970,R8,5.0,-5.0,0.0
108.0,5.0,1970,R8,11.0,21.0,0.0
108.0,5.0,1970,R8,16.0,0.0,0.0
108.0,5.0,1970,R8,20.0,0.0,0.0
108.0,5.0,1970,R8,30.0,104.0,0.0
108.0,5.0,1970,R8,34.0,0.0,0.0
108.0,5.0,1970,R8B,3.0,-1.0,0.0
108.0,5.0,1970,R8B,4.0,-26.0,0.0
108.0,5.0,1970,R8B,5.0,-23.0,0.0
108.0,5.0,1970,R8B,6.0,58.0,0.0
108.0,5.0,1970,R8B,7.0,36.0,0.0
108.0,5.0,1970,R8B,8.0,21.0,0.0
108.0,5.0,1970,R8B,10.0,46.0,0.0
108.0,5.0,1970,R8B,11.0,0.0,0.0
108.0,5.0,1970,R8B,12.0,-127.0,0.0
108.0,5.0,1970,R8B,14.0,0.0,0.0
108.0,5.0,1970,R8B,18.0,29.0,0.0
108.0,5.0,1970,R8B,19.0,-5.0,0.0
108.0,5.0,1970,R8B,32.0,103.0,0.0
108.0,5.0,1970,R9,4.0,-5.0,0.0
108.0,5.0,1970,R9,19.0,0.0,0.0
108.0,8.0,1970,R10,7.0,0.0,0.0
108.0,8.0,1970,R10,9.0,0.0,0.0
108.0,8.0,1970,R10,36.0,0.0,0.0
108.0,8.0,1970,R10A,21.0,46.0,0.0
108.0,8.0,1970,R10A,26.0,-1.0,0.0
109.0,7.0,1970,C1-2,11.0,0.0,0.0
109.0,7.0,1970,C1-4,4.0,3.0,0.0
109.0,7.0,1970,C1-4,6.0,1.0,0.0
109.0,7.0,1970,C1-4,7.0,1.0,0.0
109.0,7.0,1970,M1-2,4.0,-4.0,0.0
109.0,7.0,1970,M1-5,4.0,0.0,0.0
109.0,7.0,1970,R6A,3.0,-2.0,0.0
109.0,7.0,1970,R6A,4.0,27.0,0.0
109.0,7.0,1970,R6A,5.0,18.0,0.0
109.0,7.0,1970,R7-2,3.0,-5.0,0.0
109.0,7.0,1970,R7-2,4.0,22.0,0.0
109.0,7.0,1970,R7-2,5.0,12.0,0.0
109.0,7.0,1970,R7-2,6.0,20.0,0.0
109.0,7.0,1970,R7-2,7.0,60.0,0.0
109.0,7.0,1970,R7-2,8.0,32.0,0.0
109.0,7.0,1970,R7-2,15.0,430.0,0.0
109.0,7.0,1970,R7-2,18.0,0.0,0.0
109.0,7.0,1970,R7-2,21.0,0.0,0.0
109.0,7.0,1970,R7-3,4.0,0.0,0.0
109.0,7.0,1970,R7A,3.0,6.0,0.0
109.0,7.0,1970,R7A,4.0,10.0,0.0
109.0,7.0,1970,R7A,5.0,17.0,0.0
109.0,7.0,1970,R7A,6.0,29.0,0.0
109.0,7.0,1970,R7A,7.0,56.0,0.0
109.0,7.0,1970,R7A,8.0,23.0,0.0
109.0,7.0,1970,R7D,5.0,79.0,0.0
109.0,7.0,1970,R8,4.0,18.0,0.0
109.0,7.0,1970,R8,5.0,5.0,0.0
109.0,7.0,1970,R8,6.0,0.0,0.0
109.0,7.0,1970,R8,7.0,6.0,0.0
109.0,7.0,1970,R8,8.0,0.0,0.0
109.0,7.0,1970,R8,9.0,205.0,0.0
109.0,7.0,1970,R8,10.0,-7.0,0.0
109.0,7.0,1970,R8,11.0,114.0,0.0
109.0,7.0,1970,R8,12.0,129.0,0.0
109.0,7.0,1970,R8,13.0,-1.0,0.0
109.0,7.0,1970,R8,14.0,80.0,0.0
109.0,7.0,1970,R8,15.0,-1.0,0.0
109.0,7.0,1970,R8,16.0,4.0,0.0
109.0,7.0,1970,R8,20.0,1.0,0.0
109.0,7.0,1970,R8,28.0,238.0,0.0
109.0,7.0,1970,R8,33.0,183.0,0.0
109.0,7.0,1970,R8,34.0,142.0,0.0
109.0,7.0,1970,R8,42.0,194.0,0.0
109.0,9.0,1970,C1-2,4.0,3.0,0.0
109.0,9.0,1970,C1-4,6.0,0.0,0.0
109.0,9.0,1970,R6A,2.0,-2.0,0.0
109.0,9.0,1970,R6A,4.0,-8.0,0.0
109.0,9.0,1970,R6A,5.0,4.0,0.0
109.0,9.0,1970,R7-2,4.0,18.0,0.0
109.0,9.0,1970,R7-2,5.0,0.0,0.0
109.0,9.0,1970,R7-2,6.0,67.0,0.0
109.0,9.0,1970,R7-2,7.0,37.0,0.0
109.0,9.0,1970,R7A,4.0,-5.0,0.0
109.0,9.0,1970,R7A,5.0,18.0,0.0
109.0,9.0,1970,R7A,6.0,2.0,0.0
109.0,9.0,1970,R7A,8.0,20.0,0.0
109.0,9.0,1970,R8,5.0,0.0,0.0
109.0,9.0,1970,R8A,12.0,94.0,0.0
109.0,9.0,1970,R8A,13.0,124.0,0.0
110.0,9.0,1970,C1-2,5.0,14.0,0.0
110.0,9.0,1970,C1-2,6.0,-12.0,0.0
110.0,9.0,1970,C1-3,5.0,0.0,0.0
110.0,9.0,1970,C1-4,5.0,-61.0,0.0
110.0,9.0,1970,C1-4,6.0,20.0,0.0
110.0,9.0,1970,C1-4,7.0,63.0,0.0
110.0,9.0,1970,C1-4,8.0,19.0,0.0
110.0,9.0,1970,C1-8X,4.0,2.0,0.0
110.0,9.0,1970,C1-9,7.0,-5.0,0.0
110.0,9.0,1970,C1-9,22.0,69.0,0.0
110.0,9.0,1970,C2-2,5.0,1.0,0.0
110.0,9.0,1970,C2-4,4.0,0.0,0.0
110.0,9.0,1970,C2-4,6.0,0.0,0.0
110.0,9.0,1970,C2-4,12.0,168.0,0.0
110.0,9.0,1970,C4-4,4.0,-2.0,0.0
110.0,9.0,1970,C4-4A,5.0,8.0,0.0
110.0,9.0,1970,C4-4A,6.0,36.0,0.0
110.0,9.0,1970,C4-4A,29.0,191.0,0.0
110.0,9.0,1970,C4-4D,4.0,0.0,0.0
110.0,9.0,1970,C4-5X,8.0,0.0,0.0
110.0,9.0,1970,C4-5X,12.0,225.0,0.0
110.0,9.0,1970,C4-6,12.0,0.0,0.0
110.0,9.0,1970,C4-7,4.0,30.0,0.0
110.0,9.0,1970,C4-7,18.0,171.0,0.0
110.0,9.0,1970,C6-3,17.0,141.0,0.0
110.0,9.0,1970,C8-3,6.0,-10.0,0.0
110.0,9.0,1970,R6A,4.0,18.0,0.0
110.0,9.0,1970,R6A,5.0,1.0,0.0
110.0,9.0,1970,R6A,6.0,-5.0,0.0
110.0,9.0,1970,R6A,7.0,0.0,0.0
110.0,9.0,1970,R7-2,1.0,0.0,0.0
110.0,9.0,1970,R7-2,2.0,1.0,0.0
110.0,9.0,1970,R7-2,3.0,5.0,0.0
110.0,9.0,1970,R7-2,4.0,332.0,0.0
110.0,9.0,1970,R7-2,5.0,103.0,0.0
110.0,9.0,1970,R7-2,6.0,449.0,0.0
110.0,9.0,1970,R7-2,7.0,328.0,0.0
110.0,9.0,1970,R7-2,8.0,593.0,0.0
110.0,9.0,1970,R7-2,9.0,187.0,0.0
110.0,9.0,1970,R7-2,12.0,0.0,0.0
110.0,9.0,1970,R7-2,16.0,0.0,0.0
110.0,9.0,1970,R7A,3.0,-5.0,0.0
110.0,9.0,1970,R7A,4.0,26.0,0.0
110.0,9.0,1970,R7A,5.0,-178.0,0.0
110.0,9.0,1970,R7A,6.0,43.0,0.0
110.0,9.0,1970,R7A,7.0,3.0,0.0
110.0,9.0,1970,R7A,8.0,99.0,0.0
110.0,9.0,1970,R7A,12.0,170.0,0.0
110.0,9.0,1970,R7B,4.0,18.0,0.0
110.0,9.0,1970,R7B,5.0,2.0,0.0
110.0,9.0,1970,R7B,6.0,2.0,0.0
110.0,9.0,1970,R7B,7.0,1.0,0.0
110.0,9.0,1970,R8,4.0,1.0,0.0
110.0,9.0,1970,R8,5.0,-17.0,0.0
110.0,9.0,1970,R8,6.0,8.0,0.0
110.0,9.0,1970,R8,7.0,13.0,0.0
110.0,9.0,1970,R8,8.0,60.0,0.0
110.0,9.0,1970,R8,9.0,17.0,0.0
110.0,9.0,1970,R8,11.0,69.0,0.0
110.0,9.0,1970,R8,12.0,190.0,0.0
110.0,9.0,1970,R8,13.0,37.0,0.0
110.0,9.0,1970,R8,18.0,168.0,0.0
110.0,9.0,1970,R8,19.0,169.0,0.0
110.0,9.0,1970,R8A,4.0,-1.0,0.0
110.0,9.0,1970,R8A,5.0,0.0,0.0
110.0,9.0,1970,R8A,6.0,0.0,0.0
110.0,9.0,1970,R8A,7.0,30.0,0.0
110.0,9.0,1970,R8A,8.0,125.0,0.0
110.0,9.0,1970,R8A,9.0,60.0,0.0
110.0,9.0,1970,R8A,10.0,173.0,0.0
110.0,9.0,1970,R8A,11.0,79.0,0.0
110.0,9.0,1970,R8A,12.0,318.0,0.0
110.0,9.0,1970,R8A,13.0,104.0,0.0
110.0,9.0,1970,R8A,15.0,75.0,0.0
111.0,8.0,1970,C1-2,4.0,0.0,0.0
111.0,8.0,1970,C1-4,5.0,-1.0,0.0
111.0,8.0,1970,C1-4,8.0,19.0,0.0
111.0,8.0,1970,C1-5,8.0,79.0,0.0
111.0,8.0,1970,C4-4,3.0,2.0,0.0
111.0,8.0,1970,C4-4D,3.0,3.0,0.0
111.0,8.0,1970,C4-4D,4.0,-1.0,0.0
111.0,8.0,1970,C4-4D,7.0,0.0,0.0
111.0,8.0,1970,C4-4D,8.0,21.0,0.0
111.0,8.0,1970,C4-4D,11.0,341.0,0.0
111.0,8.0,1970,C4-4D,12.0,569.0,0.0
111.0,8.0,1970,C4-6,3.0,0.0,0.0
111.0,8.0,1970,C4-6,12.0,58.0,0.0
111.0,8.0,1970,C6-3,8.0,49.0,0.0
111.0,8.0,1970,C6-3,19.0,404.0,0.0
111.0,8.0,1970,R10,15.0,0.0,0.0
111.0,8.0,1970,R10,19.0,149.0,0.0
111.0,8.0,1970,R10,29.0,0.0,0.0
111.0,8.0,1970,R10,41.0,0.0,0.0
111.0,8.0,1970,R10A,5.0,0.0,0.0
111.0,8.0,1970,R7-2,3.0,2.0,0.0
111.0,8.0,1970,R7-2,4.0,14.0,0.0
111.0,8.0,1970,R7-2,5.0,91.0,0.0
111.0,8.0,1970,R7-2,6.0,234.0,0.0
111.0,8.0,1970,R7-2,7.0,89.0,0.0
111.0,8.0,1970,R7-2,8.0,90.0,0.0
111.0,8.0,1970,R7-2,9.0,69.0,0.0
111.0,8.0,1970,R7-2,11.0,89.0,0.0
111.0,8.0,1970,R7-2,14.0,192.0,0.0
111.0,8.0,1970,R7-2,16.0,153.0,0.0
111.0,8.0,1970,R7-2,18.0,298.0,0.0
111.0,8.0,1970,R7-2,23.0,72.0,0.0
111.0,8.0,1970,R7A,2.0,1.0,0.0
111.0,8.0,1970,R7A,3.0,0.0,0.0
111.0,8.0,1970,R7A,4.0,23.0,0.0
111.0,8.0,1970,R7A,5.0,10.0,0.0
111.0,8.0,1970,R7A,6.0,41.0,0.0
111.0,8.0,1970,R7A,7.0,92.0,0.0
111.0,8.0,1970,R7A,8.0,267.0,0.0
111.0,8.0,1970,R7A,10.0,176.0,0.0
111.0,8.0,1970,R7A,12.0,98.0,0.0
111.0,8.0,1970,R7B,2.0,0.0,0.0
111.0,8.0,1970,R7B,3.0,-1.0,0.0
111.0,8.0,1970,R7B,4.0,6.0,0.0
111.0,8.0,1970,R7B,5.0,26.0,0.0
111.0,8.0,1970,R7B,6.0,59.0,0.0
111.0,8.0,1970,R7B,8.0,35.0,0.0
111.0,8.0,1970,R7D,3.0,0.0,0.0
111.0,8.0,1970,R7D,5.0,1.0,0.0
111.0,8.0,1970,R7X,4.0,-1.0,0.0
111.0,8.0,1970,R7X,9.0,90.0,0.0
111.0,8.0,1970,R7X,12.0,179.0,0.0
111.0,8.0,1970,R8A,4.0,14.0,0.0
111.0,8.0,1970,R8A,5.0,1.0,0.0
111.0,8.0,1970,R8A,6.0,8.0,0.0
111.0,8.0,1970,R8A,7.0,24.0,0.0
111.0,8.0,1970,R8A,8.0,14.0,0.0
111.0,8.0,1970,R8A,9.0,391.0,0.0
111.0,8.0,1970,R8A,10.0,16.0,0.0
111.0,8.0,1970,R8A,11.0,62.0,0.0
111.0,8.0,1970,R8A,12.0,287.0,0.0
111.0,8.0,1970,R8A,13.0,52.0,0.0
111.0,8.0,1970,R9,15.0,759.0,0.0
111.0,8.0,1970,R9,34.0,348.0,0.0
111.0,8.0,1970,R9,35.0,0.0,0.0
111.0,8.0,1970,R9,43.0,229.0,0.0
111.0,8.0,1970,R9A,5.0,0.0,0.0
111.0,8.0,1970,R9A,8.0,13.0,0.0
111.0,9.0,1970,C4-4,4.0,0.0,0.0
111.0,9.0,1970,C4-4,5.0,0.0,0.0
111.0,9.0,1970,C4-4A,4.0,4.0,0.0
111.0,9.0,1970,C4-4D,4.0,-10.0,0.0
111.0,9.0,1970,C4-4D,12.0,75.0,0.0
111.0,9.0,1970,C4-6,19.0,111.0,0.0
111.0,9.0,1970,C8-3,3.0,0.0,0.0
111.0,9.0,1970,M1-2,5.0,0.0,0.0
111.0,9.0,1970,M1-6,19.0,160.0,0.0
111.0,9.0,1970,R6A,4.0,1.0,0.0
111.0,9.0,1970,R6A,5.0,2.0,0.0
111.0,9.0,1970,R7-2,3.0,3.0,0.0
111.0,9.0,1970,R7-2,4.0,23.0,0.0
111.0,9.0,1970,R7-2,5.0,12.0,0.0
111.0,9.0,1970,R7-2,6.0,143.0,0.0
111.0,9.0,1970,R7-2,7.0,15.0,0.0
111.0,9.0,1970,R7-2,8.0,272.0,0.0
111.0,9.0,1970,R7-2,13.0,0.0,0.0
111.0,9.0,1970,R7A,4.0,2.0,0.0
111.0,9.0,1970,R7B,4.0,2.0,0.0
111.0,9.0,1970,R8,12.0,173.0,0.0
111.0,9.0,1970,R8,14.0,140.0,0.0
111.0,9.0,1970,R9,6.0,14.0,0.0
111.0,9.0,1970,R9,8.0,0.0,0.0
112.0,7.0,1970,C2-4,7.0,7.0,0.0
112.0,7.0,1970,R8,4.0,1.0,0.0
112.0,7.0,1970,R8,5.0,1.0,0.0
112.0,7.0,1970,R8,6.0,-1.0,0.0
112.0,7.0,1970,R8,10.0,62.0,0.0
112.0,7.0,1970,R8,13.0,0.0,0.0
112.0,10.0,1970,BPC,5.0,0.0,0.0
112.0,10.0,1970,C1-2,6.0,-1.0,0.0
112.0,10.0,1970,C1-4,4.0,9.0,0.0
112.0,10.0,1970,C1-4,6.0,4.0,0.0
112.0,10.0,1970,C2-4,5.0,0.0,0.0
112.0,10.0,1970,C4-4,6.0,1.0,0.0
112.0,10.0,1970,C4-4,11.0,0.0,0.0
112.0,10.0,1970,C4-4D,14.0,174.0,0.0
112.0,10.0,1970,C8-3,22.0,0.0,0.0
112.0,10.0,1970,R7-2,1.0,-2.0,0.0
112.0,10.0,1970,R7-2,3.0,5.0,0.0
112.0,10.0,1970,R7-2,4.0,59.0,0.0
112.0,10.0,1970,R7-2,5.0,18.0,0.0
112.0,10.0,1970,R7-2,6.0,162.0,0.0
112.0,10.0,1970,R7-2,7.0,279.0,0.0
112.0,10.0,1970,R7-2,8.0,286.0,0.0
112.0,10.0,1970,R7-2,9.0,162.0,0.0
112.0,10.0,1970,R7-2,15.0,0.0,0.0
112.0,10.0,1970,R7-2,32.0,0.0,0.0
112.0,10.0,1970,R7A,3.0,-1.0,0.0
112.0,10.0,1970,R7A,7.0,24.0,0.0
112.0,10.0,1970,R8,5.0,0.0,0.0
112.0,10.0,1970,R8,6.0,-1.0,0.0
112.0,10.0,1970,R8,7.0,0.0,0.0
112.0,10.0,1970,R8,9.0,11.0,0.0
112.0,10.0,1970,R8,12.0,0.0,0.0
112.0,10.0,1970,R8,14.0,-2.0,0.0
112.0,10.0,1970,R8,15.0,0.0,0.0
201.0,8.0,1970,C1-4,4.0,3.0,0.0
201.0,8.0,1970,C1-4,5.0,8.0,0.0
201.0,8.0,1970,C2-2,5.0,0.0,0.0
201.0,8.0,1970,C2-4,3.0,2.0,0.0
201.0,8.0,1970,C6-2A,9.0,0.0,0.0
201.0,8.0,1970,C6-2A,12.0,215.0,0.0
201.0,8.0,1970,C6-2A,14.0,301.0,0.0
201.0,8.0,1970,M1-2,4.0,7.0,0.0
201.0,8.0,1970,M1-2,5.0,0.0,0.0
201.0,8.0,1970,M1-2,6.0,150.0,0.0
201.0,8.0,1970,M1-2,7.0,0.0,0.0
201.0,8.0,1970,M1-2,8.0,133.0,0.0
201.0,8.0,1970,M1-2,11.0,0.0,0.0
201.0,8.0,1970,M1-2,13.0,167.0,0.0
201.0,8.0,1970,M1-2/R6A,4.0,66.0,0.0
201.0,8.0,1970,M1-2/R6A,5.0,20.0,0.0
201.0,8.0,1970,M1-2/R6A,6.0,16.0,0.0
201.0,8.0,1970,M1-2/R6A,7.0,77.0,0.0
201.0,8.0,1970,M1-3,4.0,0.0,0.0
201.0,8.0,1970,M1-3,25.0,459.0,0.0
201.0,8.0,1970,M1-3/R8,24.0,264.0,0.0
201.0,8.0,1970,M1-3/R8,25.0,1379.0,0.0
201.0,8.0,1970,M1-3/R8,27.0,200.0,0.0
201.0,8.0,1970,M1-4,4.0,0.0,0.0
201.0,8.0,1970,M1-4,7.0,101.0,0.0
201.0,8.0,1970,M1-4,8.0,96.0,0.0
201.0,8.0,1970,M1-4,12.0,338.0,0.0
201.0,8.0,1970,M1-4/R7A,5.0,39.0,0.0
201.0,8.0,1970,M1-4/R7X,7.0,47.0,0.0
201.0,8.0,1970,M1-4/R8A,12.0,154.0,0.0
201.0,8.0,1970,M1-4/R8A,13.0,223.0,0.0
201.0,8.0,1970,M1-5,12.0,198.0,0.0
201.0,8.0,1970,M1-5,13.0,221.0,0.0
201.0,8.0,1970,M1-5/R8A,12.0,91.0,0.0
201.0,8.0,1970,R6,1.0,31.0,0.0
201.0,8.0,1970,R6,2.0,2.0,0.0
201.0,8.0,1970,R6,3.0,23.0,0.0
201.0,8.0,1970,R6,4.0,105.0,0.0
201.0,8.0,1970,R6,5.0,86.0,0.0
201.0,8.0,1970,R6,6.0,198.0,0.0
201.0,8.0,1970,R6,7.0,52.0,0.0
201.0,8.0,1970,R6,8.0,152.0,0.0
201.0,8.0,1970,R6,9.0,159.0,0.0
201.0,8.0,1970,R7-1,3.0,24.0,0.0
201.0,8.0,1970,R7-1,4.0,40.0,0.0
201.0,8.0,1970,R7-1,5.0,36.0,0.0
201.0,8.0,1970,R7-1,6.0,0.0,0.0
201.0,8.0,1970,R7-1,7.0,331.0,0.0
201.0,8.0,1970,R7-1,8.0,34.0,0.0
201.0,8.0,1970,R7-2,8.0,182.0,0.0
201.0,8.0,1970,R7-2,11.0,119.0,0.0
201.0,8.0,1970,R7-2,13.0,136.0,0.0
201.0,8.0,1970,R7A,7.0,100.0,0.0
201.0,8.0,1970,R7D,5.0,-3.0,0.0
201.0,8.0,1970,R7D,10.0,178.0,0.0
201.0,8.0,1970,R7X,11.0,80.0,0.0
201.0,8.0,1970,R7X,15.0,101.0,0.0
201.0,8.0,1970,R8A,13.0,60.0,0.0
201.0,8.0,1970,R8X,14.0,163.0,0.0
201.0,17.0,1970,C2-2,4.0,6.0,0.0
201.0,17.0,1970,C2-4,4.0,0.0,0.0
201.0,17.0,1970,C4-4,3.0,2.0,0.0
201.0,17.0,1970,C4-4,4.0,3.0,0.0
201.0,17.0,1970,C4-4,5.0,0.0,0.0
201.0,17.0,1970,C4-4,6.0,200.0,0.0
201.0,17.0,1970,C4-4,7.0,0.0,0.0
201.0,17.0,1970,C4-4,8.0,44.0,0.0
201.0,17.0,1970,C4-4,9.0,0.0,0.0
201.0,17.0,1970,C4-7,4.0,7.0,0.0
201.0,17.0,1970,C4-7,5.0,9.0,0.0
201.0,17.0,1970,C6-2,9.0,213.0,0.0
201.0,17.0,1970,C6-2,12.0,215.0,0.0
201.0,17.0,1970,C6-2,13.0,281.0,0.0
201.0,17.0,1970,C6-2,20.0,222.0,0.0
201.0,17.0,1970,C6-3,26.0,277.0,0.0
201.0,17.0,1970,M1-4/R8A,11.0,206.0,0.0
201.0,17.0,1970,R6,2.0,2.0,0.0
201.0,17.0,1970,R6,3.0,14.0,0.0
201.0,17.0,1970,R6,4.0,59.0,0.0
201.0,17.0,1970,R6,5.0,22.0,0.0
201.0,17.0,1970,R7-1,4.0,13.0,0.0
201.0,17.0,1970,R7-1,7.0,32.0,0.0
201.0,17.0,1970,R7-2,3.0,12.0,0.0
201.0,17.0,1970,R7-2,4.0,8.0,0.0
201.0,17.0,1970,R7-2,5.0,14.0,0.0
201.0,17.0,1970,R7-2,6.0,12.0,0.0
201.0,17.0,1970,R7-2,12.0,84.0,0.0
201.0,17.0,1970,R7-2,15.0,330.0,0.0
201.0,17.0,1970,R7-2,18.0,1.0,0.0
201.0,17.0,1970,R7X,7.0,126.0,0.0
201.0,17.0,1970,R7X,8.0,123.0,0.0
201.0,17.0,1970,R7X,10.0,90.0,0.0
201.0,17.0,1970,R7X,11.0,78.0,0.0
