Mode,Year,State FIPS,State,Summary Level,Census ID,Departure,LTS,Threshold,Weighted_average_total_jobs
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,30,4535.437726723096
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,35,5554.0386940749695
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,40,7921.390568319226
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,45,11222.489721886335
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,50,16504.47883917775
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,55,28100.30108827086
transit,2022,36,New York,census_tract,36001000401,7:00-8:59,NA,60,35017.41717049577
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,5,1008.554399243141
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,10,1571.422421948912
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,15,4203.32261116367
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,20,10136.86518448439
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,25,27547.2119205298
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,30,66468.99101229895
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,35,99234.94843897824
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,40,115488.90302743614
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,45,129645.93377483444
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,50,144998.85761589403
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,55,158760.44276253547
transit,2022,36,New York,census_tract,36001000403,7:00-8:59,NA,60,169955.4394512772
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,5,100.32550860719874
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,10,172.3568075117371
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,15,200.2582159624413
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,20,1419.1752738654147
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,25,9075.954616588419
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,30,19836.266040688577
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,35,47072.5696400626
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,40,81753.40845070423
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,45,112370.44444444444
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,50,125689.93427230047
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,55,143806.62597809077
transit,2022,36,New York,census_tract,36001000404,7:00-8:59,NA,60,158147.8951486698
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,5,154.85193289569656
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,10,854.0423048869438
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,15,4887.211524434719
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,20,28461.4704595186
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,25,70219.30634573304
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,30,103502.84901531729
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,35,123444.84828592268
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,40,136724.9117432531
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,45,152559.01677607585
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,50,167567.74106491613
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,55,186315.95988329686
transit,2022,36,New York,census_tract,36001000501,7:00-8:59,NA,60,202597.5018234865
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,5,78.2869109947644
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,10,725.496335078534
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,15,2750.122513089005
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,20,16980.668062827226
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,25,59277.657591623036
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,30,98399.95811518324
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,35,112679.95602094241
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,40,124272.79371727748
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,45,138841.32984293194
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,50,150864.8565445026
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,55,167803.39371727747
transit,2022,36,New York,census_tract,36001000502,7:00-8:59,NA,60,181404.6712041885
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,5,113.19800181653042
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,10,1045.7792915531336
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,15,10517.005449591281
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,20,55378.744777475025
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,25,81724.96276112625
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,30,98152.2697547684
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,35,122636.98455949138
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,40,135476.56584922798
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,45,149266.87375113534
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,50,168995.67847411445
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,55,189026.6839237057
transit,2022,36,New York,census_tract,36001000600,7:00-8:59,NA,60,206530.91553133514
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,5,66.1479250334672
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,10,390.9116465863454
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,15,2468.3641231593037
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,20,28724.516064257026
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,25,55325.13788487283
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,30,79230.76974564926
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,35,99971.52610441767
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,40,120184.20615796519
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,45,136605.97456492638
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,50,155808.81860776438
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,55,175912.43172690764
transit,2022,36,New York,census_tract,36001000700,7:00-8:59,NA,60,196609.8406961178
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,5,319.89473684210526
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,10,3937.936842105263
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,15,23306.831578947367
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,20,50691.816541353386
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,25,72598.81203007519
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,30,97581.98045112782
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,35,115335.33533834586
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,40,136380.02706766917
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,45,150070.6
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,50,171275.24812030076
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,55,192970.87218045112
transit,2022,36,New York,census_tract,36001000800,7:00-8:59,NA,60,214249.65714285715
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,5,6560.62015503876
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,10,21943.745478036177
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,15,43193.42377260982
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,20,55160.523255813954
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,25,72778.53100775194
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,30,88258.37855297158
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,35,110728.96640826874
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,40,131954.50645994832
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,45,157083.0749354005
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,50,175954.05813953487
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,55,195400.64987080105
transit,2022,36,New York,census_tract,36001001100,7:00-8:59,NA,60,211684.74547803617
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,5,830.9186658864833
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,10,9197.742539496781
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,15,34716.845523698066
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,20,61218.71562317145
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,25,79939.87009947338
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,30,99360.35283791691
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,35,118106.37916910474
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,40,134066.38911644235
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,45,149712.319485079
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,50,170033.35517846694
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,55,194794.45231129316
transit,2022,36,New York,census_tract,36001001400,7:00-8:59,NA,60,213636.90579286133
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,5,64.29468021518231
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,10,1747.4261805140466
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,15,11288.679617453676
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,20,29089.75194261805
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,25,66390.84459055589
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,30,91329.05439330544
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,35,105985.67901972505
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,40,121003.01255230125
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,45,133600.76329946204
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,50,148042.4219964136
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,55,165591.34847579198
transit,2022,36,New York,census_tract,36001001500,7:00-8:59,NA,60,181641.06575014943
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,5,38.30573248407644
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,10,317.3687898089172
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,15,2874.8191082802546
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,20,15341.780891719745
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,25,41883.14840764331
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,30,76900.34458598726
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,35,97126.99108280255
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,40,108928.32675159235
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,45,121455.57197452229
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,50,134247.6464968153
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,55,148538.68853503183
transit,2022,36,New York,census_tract,36001001600,7:00-8:59,NA,60,161883.40636942675
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,5,123.96816976127322
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,10,314.45411140583553
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,15,2124.053050397878
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,20,9693.354907161804
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,25,30032.58620689655
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,30,66226.05517241379
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,35,94625.47161803713
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,40,108577.87427055703
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,45,121557.08435013263
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,50,134064.71830238728
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,55,147163.24190981433
transit,2022,36,New York,census_tract,36001001700,7:00-8:59,NA,60,159408.97665782494
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,5,20.556848228450555
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,10,261.4754098360656
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,15,1320.8334214701217
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,20,3294.5425700687465
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,25,6991.989423585404
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,30,18797.197250132205
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,35,43236.2131147541
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,40,69063.92860920148
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,45,95728.7461660497
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,50,117002.88418826018
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,55,132765.79428873613
transit,2022,36,New York,census_tract,36001001802,7:00-8:59,NA,60,141874.44473823375
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,5,10.55085281111813
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,10,104.10612760581175
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,15,1090.1130764371446
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,20,4158.255211623499
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,25,11364.061907770058
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,30,29519.60644346178
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,35,60704.082754264055
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,40,85768.58622867972
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,45,103048.19646241314
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,50,115480.062539482
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,55,127239.55716993051
transit,2022,36,New York,census_tract,36001001803,7:00-8:59,NA,60,136659.38534428302
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,5,557.1609128145114
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,10,619.3709771796372
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,15,959.8273844353423
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,20,2202.9894675248684
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,25,5816.798127559977
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,30,18506.073142188416
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,35,43530.02750146284
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,40,63312.055588063195
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,45,75826.18022235225
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,50,92815.3200702165
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,55,106513.16208308953
transit,2022,36,New York,census_tract,36001001804,7:00-8:59,NA,60,115498.58455236981
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,5,21.09552691432904
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,10,193.34950720242608
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,15,6259.413191811978
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,20,15569.736921910539
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,25,36837.71872630781
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,30,62992.90219863533
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,35,79516.61258529189
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,40,95630.88248673237
transit,2022,36,New York,census_tract,36001001901,7:00-8:59,NA,45,110015.55496588325
