"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US36109000100","Census Tract 1, Tompkins County, New York","2064","1865","1244","141","5","391","0","84","199","184","33","20","31","1","82","5","3","1","5","0","0","3","0","0","0","12","6","0","0","0","0","0","1","2","0","1","0","0","0","0","0","1","0","0","0","1","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109000201","Census Tract 2.01, Tompkins County, New York","3337","3002","1502","75","6","1324","3","92","335","311","49","1","132","1","121","0","4","0","1","0","0","0","1","0","1","20","9","1","1","1","0","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0",
"1400000US36109000202","Census Tract 2.02, Tompkins County, New York","2539","2285","1642","96","1","492","2","52","254","236","25","14","84","4","88","1","8","1","8","0","0","0","0","3","0","14","5","0","1","1","0","0","1","0","4","0","0","0","0","0","2","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109000300","Census Tract 3, Tompkins County, New York","2780","2696","1845","169","30","335","1","316","84","80","5","3","53","0","14","2","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US36109000400","Census Tract 4, Tompkins County, New York","4968","4823","3074","292","6","908","2","541","145","137","6","2","86","0","37","0","2","0","2","0","0","1","0","1","0","7","1","0","0","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109000500","Census Tract 5, Tompkins County, New York","4489","4046","2616","289","23","1014","0","104","443","411","53","27","143","0","163","4","0","0","14","0","0","5","0","2","0","24","0","0","0","8","3","0","4","5","4","0","0","0","0","0","0","0","0","0","0","0","6","0","0","3","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","1",
"1400000US36109000600","Census Tract 6, Tompkins County, New York","5415","5043","3793","145","22","950","1","132","372","341","41","25","110","0","153","3","4","0","4","0","0","1","0","0","0","27","11","1","0","3","0","0","6","0","4","0","0","2","0","0","0","0","0","0","0","0","4","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109000700","Census Tract 7, Tompkins County, New York","3641","3293","2645","158","4","394","2","90","348","314","52","25","68","2","145","10","0","0","11","0","0","0","0","1","0","25","3","4","0","5","0","0","3","3","1","0","0","0","0","0","5","1","0","0","0","0","8","0","0","5","0","0","0","0","2","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US36109000800","Census Tract 8, Tompkins County, New York","2745","2462","1804","288","10","279","1","80","283","259","52","34","34","0","106","1","0","0","31","0","0","0","0","1","0","18","7","3","0","5","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","6","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US36109000900","Census Tract 9, Tompkins County, New York","4201","3860","3239","311","15","185","1","109","341","317","94","47","48","4","114","7","2","0","0","1","0","0","0","0","0","19","9","1","1","0","3","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","5","2","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
